#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:42:16', checksum=350676187, kind='mean', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.05)-0.002105,SA(0.05)-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(0.15)-0.002105,SA(0.15)-0.000404,SA(0.2)-0.002105,SA(0.2)-0.000404,SA(0.25)-0.002105,SA(0.25)-0.000404,SA(0.3)-0.002105,SA(0.3)-0.000404,SA(0.35)-0.002105,SA(0.35)-0.000404,SA(0.4)-0.002105,SA(0.4)-0.000404,SA(0.5)-0.002105,SA(0.5)-0.000404,SA(0.6)-0.002105,SA(0.6)-0.000404,SA(0.75)-0.002105,SA(0.75)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
-9.41787,38.60000,1.302063E-01,2.663811E-01,1.358152E-01,2.760525E-01,1.334978E-01,2.715709E-01,2.383627E-01,4.767473E-01,2.436025E-01,4.912507E-01,2.393910E-01,4.851117E-01,2.288114E-01,4.668171E-01,2.140587E-01,4.412467E-01,2.010295E-01,4.194880E-01,1.578949E-01,3.073983E-01,1.399787E-01,2.743436E-01,1.165925E-01,2.327003E-01,9.033681E-02,1.851077E-01
-9.41787,38.70000,1.301762E-01,2.686632E-01,1.357959E-01,2.783938E-01,1.334811E-01,2.738712E-01,2.369284E-01,4.783130E-01,2.417125E-01,4.918153E-01,2.379292E-01,4.864205E-01,2.279941E-01,4.699003E-01,2.137943E-01,4.452267E-01,2.010852E-01,4.240482E-01,1.582405E-01,3.089211E-01,1.404125E-01,2.763764E-01,1.170645E-01,2.346659E-01,9.069446E-02,1.869968E-01
-9.41787,38.80000,1.297295E-01,2.698656E-01,1.353338E-01,2.796127E-01,1.330275E-01,2.750715E-01,2.356951E-01,4.798189E-01,2.402678E-01,4.930460E-01,2.366104E-01,4.878337E-01,2.268378E-01,4.718772E-01,2.128980E-01,4.474474E-01,2.003923E-01,4.262448E-01,1.578007E-01,3.095022E-01,1.400893E-01,2.771774E-01,1.168010E-01,2.354516E-01,9.047592E-02,1.877777E-01
-9.41787,38.90000,1.278748E-01,2.681592E-01,1.333608E-01,2.778019E-01,1.310965E-01,2.733066E-01,2.326359E-01,4.769814E-01,2.371535E-01,4.902938E-01,2.334829E-01,4.850203E-01,2.234326E-01,4.689929E-01,2.097021E-01,4.446257E-01,1.973056E-01,4.238092E-01,1.554958E-01,3.072151E-01,1.381283E-01,2.748438E-01,1.150080E-01,2.336268E-01,8.909364E-02,1.863841E-01
-9.41787,39.00000,1.237961E-01,2.608999E-01,1.289696E-01,2.701393E-01,1.268113E-01,2.658354E-01,2.257547E-01,4.647738E-01,2.310771E-01,4.785264E-01,2.269126E-01,4.730527E-01,2.166726E-01,4.565253E-01,2.032110E-01,4.324299E-01,1.908942E-01,4.115528E-01,1.505890E-01,2.989610E-01,1.334100E-01,2.662980E-01,1.112450E-01,2.268933E-01,8.630216E-02,1.811543E-01
-9.41787,39.10000,1.172326E-01,2.474446E-01,1.218183E-01,2.558796E-01,1.198496E-01,2.519498E-01,2.149382E-01,4.423075E-01,2.211491E-01,4.571697E-01,2.169866E-01,4.515270E-01,2.065843E-01,4.342698E-01,1.934517E-01,4.107684E-01,1.812271E-01,3.894458E-01,1.431780E-01,2.832107E-01,1.261492E-01,2.515462E-01,1.055738E-01,2.153644E-01,8.214220E-02,1.723483E-01
-9.41787,39.20000,1.114518E-01,2.356273E-01,1.159098E-01,2.436618E-01,1.140888E-01,2.400290E-01,2.058479E-01,4.229941E-01,2.126177E-01,4.385398E-01,2.083844E-01,4.326306E-01,1.978188E-01,4.146167E-01,1.849512E-01,3.915152E-01,1.727835E-01,3.697023E-01,1.365580E-01,2.683845E-01,1.197526E-01,2.388774E-01,1.005578E-01,2.051828E-01,7.821624E-02,1.641913E-01
-9.41787,39.30000,1.069040E-01,2.253314E-01,1.115123E-01,2.343344E-01,1.097926E-01,2.307077E-01,1.990534E-01,4.082828E-01,2.060881E-01,4.241001E-01,2.016806E-01,4.178180E-01,1.908647E-01,3.989882E-01,1.781156E-01,3.760051E-01,1.659091E-01,3.536491E-01,1.304056E-01,2.574188E-01,1.144398E-01,2.291884E-01,9.630348E-02,1.964907E-01,7.450640E-02,1.562563E-01
-9.41787,39.40000,1.023072E-01,2.148740E-01,1.070153E-01,2.236194E-01,1.051966E-01,2.198528E-01,1.924697E-01,3.945547E-01,1.997042E-01,4.107972E-01,1.949752E-01,4.036524E-01,1.838114E-01,3.835759E-01,1.711610E-01,3.604846E-01,1.588982E-01,3.374483E-01,1.241835E-01,2.460336E-01,1.090858E-01,2.190728E-01,9.164354E-02,1.864316E-01,7.079487E-02,1.480736E-01
-9.41787,39.50000,9.649762E-02,2.013368E-01,1.006843E-01,2.090990E-01,9.900823E-02,2.056887E-01,1.850299E-01,3.789598E-01,1.928591E-01,3.965288E-01,1.875722E-01,3.875888E-01,1.756499E-01,3.651081E-01,1.629376E-01,3.414946E-01,1.504915E-01,3.173811E-01,1.166273E-01,2.306897E-01,1.026107E-01,2.055467E-01,8.574016E-02,1.733273E-01,6.642184E-02,1.377115E-01
