#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:42:16', checksum=350676187, kind='quantile-0.05', investigation_time=1.0"
lon,lat,0.002105~PGA,0.002105~SA(0.05),0.002105~SA(0.1),0.002105~SA(0.15),0.002105~SA(0.2),0.002105~SA(0.25),0.002105~SA(0.3),0.002105~SA(0.35),0.002105~SA(0.4),0.002105~SA(0.5),0.002105~SA(0.6),0.002105~SA(0.75),0.002105~SA(1.0),0.000404~PGA,0.000404~SA(0.05),0.000404~SA(0.1),0.000404~SA(0.15),0.000404~SA(0.2),0.000404~SA(0.25),0.000404~SA(0.3),0.000404~SA(0.35),0.000404~SA(0.4),0.000404~SA(0.5),0.000404~SA(0.6),0.000404~SA(0.75),0.000404~SA(1.0)
-9.41787,38.60000,9.288139E-02,9.690552E-02,9.529091E-02,1.742958E-01,1.804033E-01,1.767065E-01,1.672680E-01,1.559116E-01,1.443494E-01,1.154848E-01,1.014617E-01,8.447392E-02,6.515835E-02,1.903958E-01,1.978740E-01,1.945617E-01,3.524998E-01,3.652333E-01,3.594503E-01,3.421482E-01,3.191407E-01,2.986791E-01,2.285350E-01,2.030843E-01,1.707107E-01,1.343081E-01
-9.41787,38.70000,9.211046E-02,9.614410E-02,9.453786E-02,1.712362E-01,1.766070E-01,1.734251E-01,1.648889E-01,1.539559E-01,1.429654E-01,1.149298E-01,1.010193E-01,8.404112E-02,6.467151E-02,1.924277E-01,2.000681E-01,1.967491E-01,3.510336E-01,3.621334E-01,3.572757E-01,3.420163E-01,3.208271E-01,3.007663E-01,2.309949E-01,2.058431E-01,1.731554E-01,1.363960E-01
-9.41787,38.80000,9.168724E-02,9.572712E-02,9.412160E-02,1.700672E-01,1.751007E-01,1.720291E-01,1.637371E-01,1.529031E-01,1.421272E-01,1.146446E-01,1.007013E-01,8.365436E-02,6.417868E-02,1.948559E-01,2.023985E-01,1.990790E-01,3.536299E-01,3.644576E-01,3.596991E-01,3.446825E-01,3.237914E-01,3.048749E-01,2.338742E-01,2.088227E-01,1.758190E-01,1.382943E-01
-9.41787,38.90000,9.113238E-02,9.515010E-02,9.354921E-02,1.695057E-01,1.745047E-01,1.713137E-01,1.628845E-01,1.519056E-01,1.411571E-01,1.140073E-01,1.000441E-01,8.294825E-02,6.346196E-02,1.961416E-01,2.035468E-01,2.002429E-01,3.569050E-01,3.678565E-01,3.630004E-01,3.479098E-01,3.265564E-01,3.075078E-01,2.358017E-01,2.105036E-01,1.774719E-01,1.394894E-01
-9.41787,39.00000,9.016017E-02,9.411409E-02,9.252783E-02,1.688048E-01,1.739025E-01,1.703898E-01,1.615853E-01,1.503153E-01,1.395679E-01,1.126810E-01,9.881020E-02,8.175215E-02,6.242769E-02,1.948648E-01,2.021218E-01,1.988577E-01,3.570998E-01,3.677997E-01,3.623917E-01,3.470162E-01,3.252273E-01,3.057035E-01,2.344741E-01,2.091611E-01,1.761134E-01,1.382921E-01
-9.41787,39.10000,8.915076E-02,9.298988E-02,9.142343E-02,1.688234E-01,1.742488E-01,1.703247E-01,1.610431E-01,1.492370E-01,1.382005E-01,1.111566E-01,9.732468E-02,8.025505E-02,6.115273E-02,1.896832E-01,1.980367E-01,1.944986E-01,3.533228E-01,3.656200E-01,3.594129E-01,3.425139E-01,3.191843E-01,2.981778E-01,2.281918E-01,2.030325E-01,1.709379E-01,1.336886E-01
-9.41787,39.20000,8.673743E-02,9.006961E-02,8.862622E-02,1.655357E-01,1.713170E-01,1.670863E-01,1.566608E-01,1.444589E-01,1.332500E-01,1.078558E-01,9.487756E-02,7.755583E-02,5.926464E-02,1.851974E-01,1.922883E-01,1.890562E-01,3.454202E-01,3.559764E-01,3.511764E-01,3.365165E-01,3.128392E-01,2.922720E-01,2.222171E-01,1.979702E-01,1.652488E-01,1.293845E-01
-9.41787,39.30000,8.427378E-02,8.768687E-02,8.623097E-02,1.607343E-01,1.651074E-01,1.617124E-01,1.533012E-01,1.418385E-01,1.305866E-01,1.045426E-01,9.107292E-02,7.475378E-02,5.680555E-02,1.810843E-01,1.876875E-01,1.846113E-01,3.324264E-01,3.443486E-01,3.389331E-01,3.221563E-01,3.018045E-01,2.843874E-01,2.135466E-01,1.895918E-01,1.598023E-01,1.255852E-01
-9.41787,39.40000,8.165166E-02,8.497130E-02,8.358354E-02,1.537564E-01,1.587890E-01,1.547858E-01,1.456311E-01,1.351791E-01,1.256737E-01,1.000301E-01,8.767392E-02,7.259590E-02,5.527462E-02,1.732652E-01,1.796918E-01,1.768616E-01,3.206760E-01,3.338821E-01,3.267849E-01,3.084716E-01,2.877789E-01,2.699403E-01,2.036669E-01,1.795485E-01,1.515807E-01,1.196869E-01
-9.41787,39.50000,7.491194E-02,7.810872E-02,7.688144E-02,1.434755E-01,1.490897E-01,1.448444E-01,1.354200E-01,1.252290E-01,1.158296E-01,9.206808E-02,8.031736E-02,6.705368E-02,5.143274E-02,1.598844E-01,1.660002E-01,1.635027E-01,3.026066E-01,3.172228E-01,3.085744E-01,2.883391E-01,2.674833E-01,2.490781E-01,1.868777E-01,1.645738E-01,1.394219E-01,1.096840E-01
-9.41787,39.60000,6.889066E-02,7.197756E-02,7.078180E-02,1.341128E-01,1.400688E-01,1.358204E-01,1.263935E-01,1.165661E-01,1.073427E-01,8.478359E-02,7.418070E-02,6.188733E-02,4.748469E-02,1.470909E-01,1.532099E-01,1.506895E-01,2.860566E-01,3.017029E-01,2.918953E-01,2.703916E-01,2.496315E-01,2.309092E-01,1.723205E-01,1.520050E-01,1.281813E-01,1.009587E-01
-9.31787,38.20000,9.946742E-02,1.036468E-01,1.019097E-01,2.002786E-01,2.099366E-01,2.012524E-01,1.843928E-01,1.685952E-01,1.543854E-01,1.204752E-01,1.056623E-01,8.862746E-02,6.924011E-02,1.940161E-01,2.010865E-01,1.977508E-01,3.974650E-01,4.225158E-01,4.018872E-01,3.674952E-01,3.335403E-01,3.049044E-01,2.297964E-01,2.021677E-01,1.685861E-01,1.330077E-01
-9.31787,38.30000,9.755023E-02,1.017646E-01,1.000625E-01,1.886933E-01,1.967073E-01,1.905723E-01,1.775751E-01,1.641289E-01,1.513270E-01,1.193089E-01,1.048538E-01,8.782807E-02,6.839556E-02,1.923902E-01,1.996978E-01,1.963874E-01,3.738737E-01,3.922353E-01,3.804583E-01,3.539480E-01,3.260876E-01,3.019869E-01,2.293587E-01,2.029309E-01,1.697555E-01,1.337913E-01
-9.31787,38.40000,9.614580E-02,1.004405E-01,9.874802E-02,1.801555E-01,1.863198E-01,1.821818E-01,1.722884E-01,1.607879E-01,1.489760E-01,1.185297E-01,1.043133E-01,8.736854E-02,6.780757E-02,1.923875E-01,1.999368E-01,1.966023E-01,3.580027E-01,3.713108E-01,3.645713E-01,3.459508E-01,3.221730E-01,3.012108E-01,2.298251E-01,2.042636E-01,1.714345E-01,1.350500E-01
-9.31787,38.50000,9.535256E-02,9.968202E-02,9.799393E-02,1.755974E-01,1.805291E-01,1.773205E-01,1.690112E-01,1.585622E-01,1.473952E-01,1.180428E-01,1.039907E-01,8.704148E-02,6.737301E-02,1.939760E-01,2.017702E-01,1.983690E-01,3.532101E-01,3.635093E-01,3.585465E-01,3.436310E-01,3.223943E-01,3.027692E-01,2.316932E-01,2.062806E-01,1.738909E-01,1.369336E-01
