lon,lat,PGA-0.002105,PGA-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
-8.518,39.500,0.112,0.281,0.077,0.196
-8.518,39.600,0.104,0.252,0.072,0.175
-8.518,39.700,0.098,0.235,0.068,0.162
-8.518,39.800,0.093,0.223,0.065,0.153
-8.518,39.900,0.088,0.215,0.061,0.147
-8.518,40.000,0.083,0.207,0.058,0.142
-8.518,40.100,0.080,0.202,0.056,0.139
-8.518,40.200,0.077,0.198,0.054,0.137
-8.518,40.300,0.074,0.195,0.052,0.134
-8.518,40.400,0.072,0.191,0.050,0.132
-8.518,40.500,0.070,0.186,0.048,0.129
-8.518,40.600,0.067,0.181,0.046,0.125
-8.518,40.700,0.065,0.177,0.045,0.122
-8.518,40.800,0.063,0.172,0.043,0.119
-8.518,40.900,0.061,0.166,0.042,0.114
-8.518,41.000,0.060,0.160,0.040,0.109
-8.518,41.100,0.058,0.152,0.039,0.104
-8.518,41.200,0.057,0.145,0.038,0.099
-8.518,41.300,0.055,0.137,0.037,0.094
-8.518,41.400,0.054,0.131,0.036,0.089
-8.518,41.500,0.053,0.126,0.035,0.086
-8.518,41.600,0.052,0.122,0.035,0.083
-8.518,41.700,0.051,0.119,0.034,0.080
-8.518,41.800,0.050,0.116,0.033,0.078
-8.518,41.900,0.049,0.113,0.033,0.076
-8.518,42.000,0.049,0.111,0.032,0.074
-8.518,42.100,0.048,0.109,0.032,0.073
-8.518,42.200,0.048,0.107,0.031,0.071
-8.418,36.900,0.166,0.328,0.119,0.222
-8.418,37.000,0.162,0.319,0.114,0.211
-8.418,37.100,0.156,0.321,0.109,0.200
-8.418,37.200,0.149,0.314,0.103,0.190
-8.418,37.300,0.140,0.286,0.098,0.181
-8.418,37.400,0.132,0.264,0.093,0.172
-8.418,37.500,0.124,0.246,0.088,0.163
-8.418,37.600,0.117,0.230,0.083,0.154
-8.418,37.700,0.112,0.217,0.080,0.147
-8.418,37.800,0.107,0.207,0.077,0.141
-8.418,37.900,0.104,0.201,0.074,0.137
-8.418,38.000,0.103,0.201,0.073,0.137
-8.418,38.100,0.104,0.205,0.074,0.139
-8.418,38.200,0.108,0.215,0.075,0.145
-8.418,38.300,0.111,0.222,0.077,0.151
-8.418,38.400,0.113,0.229,0.079,0.155
-8.418,38.500,0.116,0.236,0.081,0.161
-8.418,38.600,0.119,0.245,0.083,0.168
-8.418,38.700,0.123,0.255,0.085,0.175
-8.418,38.800,0.125,0.265,0.086,0.182
-8.418,38.900,0.126,0.274,0.087,0.189
-8.418,39.000,0.126,0.280,0.087,0.193
-8.418,39.100,0.125,0.285,0.086,0.197
-8.418,39.200,0.123,0.296,0.084,0.206
-8.418,39.300,0.120,0.304,0.082,0.213
-8.418,39.400,0.116,0.298,0.079,0.208
-8.418,39.500,0.108,0.272,0.075,0.189
-8.418,39.600,0.101,0.245,0.070,0.170
-8.418,39.700,0.095,0.229,0.067,0.157
-8.418,39.800,0.091,0.219,0.064,0.150
-8.418,39.900,0.087,0.213,0.061,0.146
-8.418,40.000,0.083,0.209,0.058,0.143
-8.418,40.100,0.079,0.207,0.056,0.142
-8.418,40.200,0.076,0.205,0.053,0.142
-8.418,40.300,0.074,0.204,0.051,0.141
-8.418,40.400,0.071,0.201,0.049,0.139
-8.418,40.500,0.069,0.196,0.048,0.136
-8.418,40.600,0.067,0.191,0.046,0.132
-8.418,40.700,0.065,0.187,0.045,0.129
-8.418,40.800,0.063,0.181,0.043,0.124
-8.418,40.900,0.061,0.173,0.042,0.119
-8.418,41.000,0.059,0.165,0.040,0.113
-8.418,41.100,0.058,0.157,0.039,0.108
-8.418,41.200,0.056,0.149,0.038,0.102
-8.418,41.300,0.055,0.141,0.037,0.096
-8.418,41.400,0.054,0.134,0.036,0.092
-8.418,41.500,0.053,0.129,0.035,0.088
-8.418,41.600,0.052,0.124,0.035,0.084
-8.418,41.700,0.051,0.121,0.034,0.082
-8.418,41.800,0.050,0.117,0.033,0.079
-8.418,41.900,0.050,0.115,0.033,0.077
-8.418,42.000,0.049,0.112,0.033,0.075
-8.418,42.100,0.049,0.110,0.032,0.074
-8.418,42.200,0.048,0.108,0.032,0.072
-8.318,36.900,0.169,0.335,0.119,0.224
-8.318,37.000,0.165,0.335,0.114,0.211
-8.318,37.100,0.157,0.343,0.108,0.200
-8.318,37.200,0.150,0.325,0.103,0.191
-8.318,37.300,0.141,0.289,0.097,0.180
-8.318,37.400,0.131,0.262,0.092,0.170
-8.318,37.500,0.123,0.242,0.087,0.161
-8.318,37.600,0.117,0.228,0.082,0.153
-8.318,37.700,0.110,0.215,0.078,0.145
-8.318,37.800,0.105,0.205,0.075,0.139
-8.318,37.900,0.102,0.199,0.073,0.135
-8.318,38.000,0.101,0.197,0.072,0.134
-8.318,38.100,0.101,0.200,0.071,0.135
-8.318,38.200,0.104,0.207,0.072,0.139
-8.318,38.300,0.106,0.213,0.074,0.144
-8.318,38.400,0.108,0.218,0.075,0.148
-8.318,38.500,0.110,0.224,0.077,0.152
-8.318,38.600,0.113,0.230,0.078,0.157
