#,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-04T09:01:17', checksum=3746912572, kind='quantile-0.05', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
-8.81787,37.90000,8.836685E-02,1.695587E-01,6.695939E-02,1.254805E-01
-8.81787,38.00000,9.144948E-02,1.849645E-01,6.758953E-02,1.319028E-01
-8.81787,38.10000,9.456759E-02,1.980048E-01,6.813267E-02,1.350822E-01
-8.81787,38.20000,1.012100E-01,2.017292E-01,7.081792E-02,1.428013E-01
-8.81787,38.30000,1.031574E-01,2.049194E-01,7.269401E-02,1.440805E-01
-8.81787,38.40000,1.029929E-01,2.085228E-01,7.231601E-02,1.462507E-01
-8.81787,38.50000,1.031456E-01,2.118379E-01,7.264563E-02,1.491086E-01
-8.81787,38.60000,1.032778E-01,2.166357E-01,7.270855E-02,1.529309E-01
-8.81787,38.70000,1.032367E-01,2.230672E-01,7.264233E-02,1.581886E-01
-8.81787,38.80000,1.031762E-01,2.326601E-01,7.244905E-02,1.658483E-01
-8.81787,38.90000,1.028914E-01,2.423176E-01,7.199280E-02,1.686028E-01
-8.81787,39.00000,1.015229E-01,2.401349E-01,7.080132E-02,1.662948E-01
-8.81787,39.10000,9.908670E-02,2.327060E-01,6.901483E-02,1.614188E-01
-8.81787,39.20000,9.591126E-02,2.240496E-01,6.689874E-02,1.557734E-01
-8.81787,39.30000,9.292719E-02,2.153524E-01,6.441580E-02,1.497898E-01
-8.81787,39.40000,8.983739E-02,2.041009E-01,6.127638E-02,1.418593E-01
-8.81787,39.50000,8.532739E-02,1.865120E-01,5.845031E-02,1.287142E-01
-8.81787,39.60000,7.672168E-02,1.666862E-01,5.289688E-02,1.161784E-01
-8.81787,39.70000,6.940515E-02,1.516092E-01,4.828307E-02,1.057786E-01
-8.81787,39.80000,6.385388E-02,1.394758E-01,4.459841E-02,9.694237E-02
-8.81787,39.90000,5.818651E-02,1.269097E-01,4.095656E-02,8.802609E-02
-8.81787,40.00000,5.407095E-02,1.184344E-01,3.825591E-02,8.148808E-02
-8.81787,40.10000,5.093401E-02,1.106570E-01,3.595239E-02,7.531152E-02
-8.81787,40.20000,4.845587E-02,1.048318E-01,3.403645E-02,7.090732E-02
-8.81787,40.30000,4.587151E-02,1.002667E-01,3.211226E-02,6.700477E-02
-8.81787,40.40000,4.437695E-02,9.770159E-02,3.079147E-02,6.440703E-02
-8.81787,40.50000,4.305473E-02,9.569892E-02,2.960982E-02,6.228352E-02
-8.81787,40.60000,4.190649E-02,9.409039E-02,2.855274E-02,6.051479E-02
-8.81787,40.70000,4.082418E-02,9.266344E-02,2.757742E-02,5.899649E-02
-8.81787,40.80000,3.978495E-02,9.122197E-02,2.663394E-02,5.752754E-02
-8.81787,40.90000,3.896845E-02,9.019282E-02,2.579378E-02,5.648753E-02
-8.81787,41.00000,3.810509E-02,8.908688E-02,2.500276E-02,5.542893E-02
-8.81787,41.10000,3.724190E-02,8.785690E-02,2.427244E-02,5.428038E-02
-8.81787,41.20000,3.634601E-02,8.629094E-02,2.358206E-02,5.306914E-02
-8.81787,41.30000,3.548511E-02,8.452115E-02,2.296672E-02,5.192087E-02
-8.81787,41.40000,3.483954E-02,8.320355E-02,2.249878E-02,5.125019E-02
-8.81787,41.50000,3.438908E-02,8.237298E-02,2.216479E-02,5.101721E-02
-8.81787,41.60000,3.410549E-02,8.192679E-02,2.193543E-02,5.102753E-02
-8.81787,41.70000,3.391964E-02,8.167171E-02,2.177123E-02,5.119438E-02
-8.81787,41.80000,3.387190E-02,8.169539E-02,2.169457E-02,5.148204E-02
-8.81787,41.90000,3.389252E-02,8.168206E-02,2.167640E-02,5.173790E-02
-8.81787,42.00000,3.391098E-02,8.069306E-02,2.166003E-02,5.194317E-02
