lat,lon,region,vs30,vs30measured,xvf,z1pt0,z2pt5
38.9,-8.41787,5,800,TRUE,150,31.07,0.57
39,-8.41787,5,800,TRUE,150,31.07,0.57
39.1,-8.41787,5,800,TRUE,150,31.07,0.57
39.2,-8.41787,5,800,TRUE,150,31.07,0.57
39.3,-8.41787,5,800,TRUE,150,31.07,0.57
39.4,-8.41787,5,800,TRUE,150,31.07,0.57
39.5,-8.41787,5,800,TRUE,150,31.07,0.57
39.6,-8.41787,5,800,TRUE,150,31.07,0.57
39.7,-8.41787,5,800,TRUE,150,31.07,0.57
39.8,-8.41787,5,800,TRUE,150,31.07,0.57
39.9,-8.41787,5,800,TRUE,150,31.07,0.57
40,-8.41787,5,800,TRUE,150,31.07,0.57
40.1,-8.41787,5,800,TRUE,150,31.07,0.57
40.2,-8.41787,5,800,TRUE,150,31.07,0.57
40.3,-8.41787,5,800,TRUE,150,31.07,0.57
40.4,-8.41787,5,800,TRUE,150,31.07,0.57
40.5,-8.41787,5,800,TRUE,150,31.07,0.57
40.6,-8.41787,5,800,TRUE,150,31.07,0.57
