#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T22:08:17', checksum=2606410892, kind='quantile-0.05', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.05)-0.002105,SA(0.05)-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(0.15)-0.002105,SA(0.15)-0.000404,SA(0.2)-0.002105,SA(0.2)-0.000404,SA(0.25)-0.002105,SA(0.25)-0.000404,SA(0.3)-0.002105,SA(0.3)-0.000404,SA(0.35)-0.002105,SA(0.35)-0.000404,SA(0.4)-0.002105,SA(0.4)-0.000404,SA(0.5)-0.002105,SA(0.5)-0.000404,SA(0.6)-0.002105,SA(0.6)-0.000404,SA(0.75)-0.002105,SA(0.75)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
-9.41787,38.80000,9.009691E-02,1.898745E-01,1.241045E-01,2.763257E-01,1.357123E-01,2.804298E-01,2.030062E-01,4.286153E-01,1.939443E-01,4.005547E-01,1.728709E-01,3.541141E-01,1.553334E-01,3.091675E-01,1.356298E-01,2.727932E-01,1.214800E-01,2.401545E-01,9.795974E-02,1.992418E-01,8.293964E-02,1.618439E-01,6.249595E-02,1.190659E-01,4.406222E-02,8.310524E-02
-9.41787,38.90000,9.024983E-02,1.906912E-01,1.241602E-01,2.794814E-01,1.354792E-01,2.850896E-01,2.034767E-01,4.295916E-01,1.943466E-01,4.012088E-01,1.738324E-01,3.539031E-01,1.544352E-01,3.068443E-01,1.357552E-01,2.732100E-01,1.202805E-01,2.418924E-01,9.641092E-02,1.957676E-01,8.057126E-02,1.606461E-01,6.088842E-02,1.171041E-01,4.240881E-02,8.165152E-02
-9.41787,39.00000,8.980219E-02,1.906755E-01,1.234763E-01,2.748492E-01,1.351574E-01,2.807735E-01,2.007149E-01,4.227984E-01,1.916533E-01,4.005985E-01,1.720607E-01,3.548422E-01,1.505898E-01,3.067374E-01,1.313657E-01,2.692347E-01,1.155405E-01,2.376861E-01,9.489009E-02,1.894542E-01,7.865445E-02,1.566700E-01,6.001047E-02,1.144332E-01,4.127749E-02,7.764949E-02
-9.41787,39.10000,8.747936E-02,1.817431E-01,1.195567E-01,2.535741E-01,1.290902E-01,2.683631E-01,1.939655E-01,4.035096E-01,1.831323E-01,3.779314E-01,1.664737E-01,3.425396E-01,1.452570E-01,2.936397E-01,1.275751E-01,2.598102E-01,1.131202E-01,2.277833E-01,9.280630E-02,1.813421E-01,7.620710E-02,1.493454E-01,5.784787E-02,1.097942E-01,3.899253E-02,7.587024E-02
-9.41787,39.20000,8.394706E-02,1.713188E-01,1.147587E-01,2.363042E-01,1.236058E-01,2.585959E-01,1.829513E-01,3.739092E-01,1.751991E-01,3.612046E-01,1.583992E-01,3.217549E-01,1.420789E-01,2.780424E-01,1.239351E-01,2.469006E-01,1.095136E-01,2.161866E-01,8.866559E-02,1.735874E-01,7.374918E-02,1.432160E-01,5.542791E-02,1.054420E-01,3.784765E-02,7.379707E-02
-9.41787,39.30000,8.223007E-02,1.705967E-01,1.110994E-01,2.274049E-01,1.204873E-01,2.482770E-01,1.795953E-01,3.701766E-01,1.712318E-01,3.508865E-01,1.549472E-01,3.107513E-01,1.388574E-01,2.724105E-01,1.207905E-01,2.383929E-01,1.055674E-01,2.084206E-01,8.513992E-02,1.662524E-01,7.039621E-02,1.389999E-01,5.292625E-02,1.021008E-01,3.597111E-02,7.047059E-02
-9.41787,39.40000,8.070798E-02,1.677503E-01,1.085363E-01,2.211649E-01,1.172719E-01,2.396966E-01,1.733998E-01,3.594351E-01,1.667527E-01,3.397942E-01,1.523552E-01,3.001760E-01,1.325348E-01,2.624240E-01,1.170463E-01,2.284751E-01,1.027157E-01,1.998056E-01,8.290018E-02,1.594537E-01,6.852603E-02,1.335674E-01,5.133764E-02,9.816211E-02,3.423933E-02,6.789386E-02
-9.41787,39.50000,7.533461E-02,1.525610E-01,1.002368E-01,2.062764E-01,1.141154E-01,2.353107E-01,1.657213E-01,3.318593E-01,1.602124E-01,3.120611E-01,1.414925E-01,2.786595E-01,1.220205E-01,2.437879E-01,1.068613E-01,2.133372E-01,9.401210E-02,1.875428E-01,7.683922E-02,1.516194E-01,6.483065E-02,1.252745E-01,4.822852E-02,9.348227E-02,3.250925E-02,6.522325E-02
-9.41787,39.60000,6.868536E-02,1.379872E-01,9.070088E-02,1.863028E-01,1.072512E-01,2.247599E-01,1.564496E-01,3.033231E-01,1.455739E-01,2.890036E-01,1.282280E-01,2.581728E-01,1.114357E-01,2.259764E-01,9.736029E-02,1.953760E-01,8.624820E-02,1.718399E-01,7.126617E-02,1.388333E-01,6.050355E-02,1.168899E-01,4.502524E-02,8.852500E-02,3.063562E-02,6.230834E-02
-9.31787,38.20000,9.484706E-02,1.994336E-01,1.271648E-01,2.592727E-01,1.350520E-01,2.632839E-01,2.078031E-01,4.148599E-01,2.018859E-01,3.991029E-01,1.830229E-01,3.655382E-01,1.596457E-01,3.151007E-01,1.396400E-01,2.762036E-01,1.236176E-01,2.428650E-01,1.048405E-01,2.009920E-01,8.817748E-02,1.646394E-01,6.820905E-02,1.257349E-01,4.912351E-02,9.206393E-02
-9.31787,38.30000,9.406109E-02,2.000288E-01,1.287677E-01,2.641958E-01,1.383117E-01,2.698032E-01,2.048402E-01,4.054266E-01,2.030982E-01,4.028041E-01,1.813607E-01,3.609772E-01,1.568752E-01,3.104500E-01,1.380035E-01,2.718693E-01,1.231674E-01,2.401599E-01,1.033241E-01,2.002270E-01,8.698925E-02,1.634134E-01,6.758220E-02,1.258240E-01,4.853985E-02,9.054706E-02
